song_id,title,release,artist_name,Genre
239,Rozana,Naam Shabana,Shreya Ghoshal,Romantic
240,Tu Meri Main Tera,Namaste England,"Altamash Faridi, Rahat Fateh Ali Khan, Shadab Faridi",RomanticSad
241,Gallan Goodiyaan,Dil Dhadakne Do,"Farhan Akhtar, Manish Kumar Tipu, Shankar Mahadevan, Sukhwinder Singh, Yashita Sharma",Dance
242,Swag Se Swagat (Arabic),Tiger Zinda Hai,"Brigitte Yaghi, Neha Bhasin, Rabih Baroud, Vishal Dadlani",Dance
243,Kudiya Shehar Diyan,Poster Boys,"Daler Mehndi, Neha Kakkar",Dance
244,Kudiya Shehar Diyan,Poster Boys,"Daler Mehndi, Neha Kakkar",Dance
245,Aap Se Milkar,Andha Dhun,"Aakanksha Sharma, Ayushmann Khurrana",Romantic
246,Socha Hai,Baadshaho,"Jubin Nautiyal, Neeti Mohan",Romantic
247,Sawan Aaya Hai (Unplugged Version),Creature 3D,"Neha Kakkar, Tony Kakkar",Sad
248,Pehle Ke Jaisa,Jalebi,K.K.,Sad
249,Main Woh Chaand,Teraa Surroor,Darshan Raval,RomanticSad
250,Ankhiyon Se Goli Mare,Dulhe Raja,"Jaspinder Narula, Sonu Nigam",Dance
251,Jab Tak,M.S. Dhoni,"Amaal Mallik, Armaan Malik",Romantic
252,Luv Letter,The Legend of Michael Mishra,"Kanika Kapoor, Meet Bros",Dance
253,Ullu ka Pattha,Jagga Jasoos,"Arijit Singh, Nikhita Gandhi",Bollywood
254,Yaad Hai Na,Raaz Reboot,Arijit Singh,Romantic
255,Balma,Pataakha,"Rekha Bhardwaj, Sunidhi Chauhan",Dance
256,Kisi Se Pyar Ho Jaye,Kaabil,Jubin Nautiyal,DanceRomantic
257,Sau Aasmaan,Baar Baar Dekho,"Armaan Malik, Neeti Mohan",Dance
258,Beparwah,Munna Michael,"Nandini Deb, Siddharth Basrur",Dance
259,Yaad Hai,Aiyaary,"Ankit Tiwari, Palak Muchhal",Sad
260,Dhayaan Chand,Manmarziyaan,"Amit Trivedi, Nikhita Gandhi, Suhas Sawant, Vijay Yamla",Dance
261,Aaj Zid,Aksar 2,Arijit Singh,RomanticSensual
262,Hum Pyaar Hai Tumhare,Haan Maine Bhi Pyaar Kiya,"Alka Yagnik, Kumar Sanu",Romantic
263,Main Hoon,Munna Michael,Siddharth Mahadevan,Dance
264,Swag Saha Nahi Jaye,Happy Phirr Bhaag Jayegi,"Neha Bhasin, Shadab Faridi, Sohail Sen",Dance
265,Chote Bade,Fry Day,"Ankit Tiwari, Mika Singh",Dance
266,Main Hoon Saath Tere,Shaadi Mein Zaroor Aana,Arijit Singh,Romantic
267,Kabira,Yeh Jawaani Hai Deewani,"Rekha Bhardwaj, Tochi Raina",Sad
268,Main Kaun Hoon,Secret Superstar,Meghna Mishra,Sad
269,Aashiq Surrender Hua,Badrinath Ki Dulhania,"Amaal Mallik, Shreya Ghoshal",Dance
270,Nachan Farrate,All is Well,"Kanika Kapoor, Meet Bros",Dance
271,Pyar De Pyar Le,Genius,"Dev Negi, Ikka, Iulia Vantur",Dance
272,Do Peg Maar,One Night Stand,Neha Kakkar,Dance
273,Tera Noor,Tiger Zinda Hai,Jyoti Nooran,Bollywood
274,Jaanu,Behen Hogi Teri,"Juggy D, Raftaar, Shivi",Dance
275,Hamdard,Ek Villain,Arijit Singh,Romantic
276,Hawa Hawai 2.0,Tumhari Sulu,"Kavita Krishnamurthy, Shashaa Tirupati",Dance
277,Dhoom Dhadakka,Namaste England,"Antara Mitra, Shahid Mallya",Dance
278,Lovely,Happy New Year,"Fateh, Kanika Kapoor, Miraya Varma, Ravindra Upadhyay",Dance
279,Mohabbat Nasha Hai,Hate Story 4,"Neha Kakkar, Tony Kakkar",Sad
280,Chal Wahan Jaate Hain,Heropanti,Arijit Singh,Romantic
281,Ishq De Fanniyar,Fukrey Returns,Jyotica Tangri,Romantic
282,Palat Tera Hero Idhar Hai,Main Tera Hero,Arijit Singh,DanceRomantic
283,Tab Bhi Tu,October,Rahat Fateh Ali Khan,Sad
284,Yeh Ladka Hai Allah,Kabhi Khushi Kabhie Gham,"Alka Yadnik, Udit Narayan",Dance
285,Tujhe Yaad Na Meri Aayee,Kuch Kuch Hota Hai,"Alka Yagnik, Manpreet Akhtar, Udit Narayan",Sad
286,Jalte Diye,Prem Ratan Dhan Payo,"Anwesshaa, Harshdeep Kaur, Shabab Sabri, Vineet Singh",Romantic
287,Zindagi Bana Loon,Sweetiee Weds NRI,Palak Muchhal,Romantic
288,Humnava,Hamari Adhuri Kahani,Papon,Sad
289,Galliyan,Ek Villain,Ankit Tiwari,Romantic
290,Tere Chehre Mein Woh Jaadu Hai,Dharmatma,Kishore Kumar,Romantic
291,Golmaal Again Title Track,Golmaal Again,"Aditi Singh Sharma, Brijesh Shandilya",Dance
292,Suno Ganpati Bappa Morya,Judwaa 2,Amit Mishra,Dance
293,Dil Dene Ki Ruth,Prem Granth,"Alka Yagnik, Vinod Rathod",Dance
294,Soch Na Sake,Airlift,"Amaal Mallik, Arijit Singh, Tulsi Kumar",Romantic
295,Tu Meri,Bang bang,Vishal Dadlani,DanceRomantic
296,Baby Ko Bass Pasand Hai,Sultan,"Badshah, Ishita, Shalmali Kholgade, Vishal Dadlani",Dance
297,Daddy Mummy,Bhaag Johnny,"Devi Sri Prasad, M. M. Manasi",Dance
298,Dekha Hazaro Dafaa,Rustom,"Arijit Singh, Palak Muchhal",Romantic
299,Khatar Patar,Sui Dhaaga,Papon,Dance
300,Tu Mera Bhai Nahi Hai,Fukrey Returns,"Gandhharv Sachdeav, Raftaar",Bollywood
301,Party With The Bhoothnath,Bhoothnath Returns,Yo Yo Honey Singh,Dance
302,Hasi,Hamari Adhuri Kahani,Ami Mishra,RomanticSad
303,Good Man Di Laaltein,Soorma,"Sukhwinder Singh, Sunidhi Chauhan",Dance
304,Kaabil Hoon,Kaabil,"Jubin Nautiyal, Palak Muchhal",Romantic
305,Manali Trance,The Shaukeens,"Neha Kakkar, Yo Yo Honey Singh",Dance
306,Main Teri Dushman Dushman Tu,Nagina,Lata Mangeshkar,Dance
307,Hafiz Hafiz,Laila Majnu,Mohit Chauhan,Romantic
308,Tere Jaisa Yaar Kahan,Yaarana,Kishore Kumar,Bollywood
309,Daryaa,Manmarziyaan,"Ammy Virk, Shahid Mallya",Sad
310,Chota Sa Fasana,Karwaan,Arijit Singh,Bollywood
311,Main Adhoora,Beiimaan Love,"Aakanksha Sharma, Yasser Desai",Sad
312,Aao Raja,Gabbar Is Back,"Neha Kakkar, Yo Yo Honey Singh",Dance
313,Haseeno Ka Deewana,Kaabil,"Payal Dev, Raftaar",Dance
314,Swag,Munna Michael,"Brijesh Shandaliya, Pranaay",Dance
315,Ki Kariye Nachna Aaonda Nahin,Tum Bin 2,"Hardy Sandhu, Neha Kakkar, Raftaar",Dance
316,Neele Neele Ambar par,Kalaakaar,Kishore Kumar,Dance
317,Choli Ke Peeche Kya Hai (Female),Khal Nayak,"Alka Yagnik, Vinod Rathod",Dance
318,Kitna Haseen Chehra,Dilwale,Kumar Sanu,Romantic
319,Girl I Need You,Baaghi,"Arijit Singh, Roach Killa",Romantic
